"","schoolcode","program"
"617","50302","General Arts"
"618","80402","General Arts"
"619","70113","General Arts"
"620","21102","Home Economics"
"621","51201","Home Economics"
"622","10117","Business"
"623","40102","General Arts"
"624","80101","Visual Arts"
"625","10103","Business"
"626","10119","General Arts"
"627","51601","Home Economics"
"628","20601","Home Economics"
"629","50402","Technical"
"630","50504","General Arts"
"631","50701","General Arts"
"632","50205","Home Economics"
"633","50301","General Science"
"634","50704","Business"
"635","50113","General Science"
"636","50606","Visual Arts"
"637","50301","Home Economics"
"638","51003","Business"
"639","40109","Agriculture"
"640","9021101","Electrical Installation Works"
"641","30302","Business"
"642","10503","Home Economics"
"643","70603","Home Economics"
"644","40601","Business"
"645","50402","Business"
"646","50402","General Arts"
"647","80302","General Arts"
"648","90504","Technical"
"649","100106","Agriculture"
"650","90501","General Science"
"651","40111","Agriculture"
"652","51102","Business"
"653","70902","General Arts"
"654","80105","Business"
"655","30905","Agriculture"
"656","70401","Technical"
"657","21302","Business"
"658","50801","Agriculture"
"659","21001","Business"
"660","50502","General Science"
"661","9040301","Motor Vehicle Mech."
"662","30905","Business"
"663","40503","Agriculture"
"664","30305","Technical"
"665","80103","Home Economics"
"666","70901","Home Economics"
"667","40106","General Arts"
"668","30109","Home Economics"
"669","51803","General Arts"
"670","50606","Technical"
"671","90201","General Arts"
"672","70104","Home Economics"
"673","50109","General Arts"
"674","70105","Home Economics"
"675","30904","Agriculture"
"676","20406","Visual Arts"
"677","50401","Business"
"678","50304","General Arts"
"679","40402","General Arts"
"680","81302","General Arts"
"681","40401","General Arts"
"682","40601","Agriculture"
"683","21504","Business"
"684","51401","General Science"
"685","70505","General Science"
"686","40302","Agriculture"
"687","30301","Visual Arts"
"688","30303","Home Economics"
"689","60404","Business"
"690","30902","Agriculture"
"691","20303","Agriculture"
"692","70507","General Arts"
"693","50703","General Arts"
"694","50605","Business"
"695","40502","Business"
"696","90403","General Science"
"697","60402","General Science"
"698","40301","Agriculture"
"699","40303","Home Economics"
"700","40302","Home Economics"
"701","61302","Home Economics"
"702","10103","Visual Arts"
"703","40901","General Arts"
"704","21201","Agriculture"
"705","51002","Agriculture"
"706","21102","Business"
"707","21401","Home Economics"
"708","80109","Business"
"709","50103","General Science"
"710","40301","Business"
"711","20401","General Science"
"712","40502","Agriculture"
"713","40401","Business"
"714","50105","General Science"
"715","80801","Home Economics"
"716","20204","General Arts"
"717","21101","General Arts"
"718","40106","Visual Arts"
"719","40303","General Arts"
"720","21001","General Arts"
"721","40902","Business"
"722","70105","General Arts"
"723","50201","Agriculture"
"724","50101","General Arts"
"725","40304","Home Economics"
"726","10118","Agriculture"
"727","40401","Home Economics"
"728","20503","Visual Arts"
"729","21307","Agriculture"
"730","21006","General Science"
"731","31001","Agriculture"
"732","30501","Visual Arts"
"733","20606","General Arts"
"734","51401","Visual Arts"
"735","60702","General Science"
"736","71103","Business"
"737","40302","General Science"
"738","30902","General Arts"
"739","90102","Home Economics"
"740","80104","General Arts"
"741","71006","Home Economics"
"742","9030101","Mech. Eng. Craft Pract."
"743","40601","Home Economics"
